WARNING 2019-03-04 11:52:23,681 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/Lord_Richard_Croft
INFO 2019-03-04 11:52:24,119 - Successfully fetch data from film_url: https://en.wikipedia.org/wiki/Tomb_Raider_(film)
INFO 2019-03-04 11:52:24,119 - Movie count = 30
INFO 2019-03-04 11:52:24,646 - Successfully fetch data from film_url: https://en.wikipedia.org/wiki/The_Square_(2017_film)
INFO 2019-03-04 11:52:24,646 - Movie count = 31
INFO 2019-03-04 11:52:25,228 - Successfully fetch data from film_url: https://en.wikipedia.org/wiki/Finding_Dory
INFO 2019-03-04 11:52:25,228 - Movie count = 32
WARNING 2019-03-04 11:52:25,228 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/Money_Monster
WARNING 2019-03-04 11:52:25,872 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/Ernest_Hemingway
INFO 2019-03-04 11:52:26,273 - Successfully fetch data from film_url: https://en.wikipedia.org/wiki/Genius_(2016_film)
INFO 2019-03-04 11:52:26,273 - Movie count = 33
INFO 2019-03-04 11:52:26,795 - Successfully fetch data from film_url: https://en.wikipedia.org/wiki/Testament_of_Youth_(film)
INFO 2019-03-04 11:52:26,795 - Movie count = 34
INFO 2019-03-04 11:52:27,275 - Successfully fetch data from film_url: https://en.wikipedia.org/wiki/Pride_(2014_film)
INFO 2019-03-04 11:52:27,275 - Movie count = 35
WARNING 2019-03-04 11:52:27,275 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/Ford_v._Ferrari
WARNING 2019-03-04 11:52:27,275 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/Money_Monster
INFO 2019-03-04 11:52:27,715 - Successfully fetch data from film_url: https://en.wikipedia.org/wiki/Escape_Plan_(film)
INFO 2019-03-04 11:52:27,715 - Movie count = 36
INFO 2019-03-04 11:52:28,170 - Successfully fetch data from film_url: https://en.wikipedia.org/wiki/Now_You_See_Me_(film)
INFO 2019-03-04 11:52:28,170 - Movie count = 37
INFO 2019-03-04 11:52:28,544 - Successfully fetch data from film_url: https://en.wikipedia.org/wiki/Crush_(2013_film)
INFO 2019-03-04 11:52:28,544 - Movie count = 38
WARNING 2019-03-04 11:52:28,874 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/Lost_Angeles
INFO 2019-03-04 11:52:29,319 - Successfully fetch data from film_url: https://en.wikipedia.org/wiki/Super_8_(2011_film)
INFO 2019-03-04 11:52:29,319 - Movie count = 39
INFO 2019-03-04 11:52:29,900 - Successfully fetch data from film_url: https://en.wikipedia.org/wiki/The_Devil_Wears_Prada_(film)
INFO 2019-03-04 11:52:29,900 - Movie count = 40
INFO 2019-03-04 11:52:29,902 - Scraped data is written as JSON format into >>> small_data.json
INFO 2019-03-04 11:52:29,902 - Crawler done.
INFO 2019-03-04 11:52:29,902 - --------------------------------Report--------------------------------
INFO 2019-03-04 11:52:29,902 - Successfully Fetch movie count: 40 Actually visited movie count: 68 
INFO 2019-03-04 11:52:29,902 - Successfully Fetch actor count: 20 Actually visited actor count: 22 
INFO 2019-03-04 11:52:29,902 - ----------------------------------------------------------------------
